"year","revenue_hkd_m","cost_of_revenue_hkd_m","gross_profit_hkd_m","operating_income_hkd_m","net_income_hkd_m","fuel_cost_hkd_m","staff_cost_hkd_m","cost_per_atk_with_fuel","cost_per_atk_without_fuel","passengers_carried_000","ask_million","rpk_million","passenger_load_factor_pct","cargo_load_factor_pct","rftk_million","aftk_million","fleet_size","destinations","on_time_performance_pct","passenger_yield_hk_cents","net_margin_pct","fuel_pct_of_revenue","staff_pct_of_revenue","pax_pct_of_2019","era"
2015,"102342","90500","11842","6463","6000","25800","18200","3.14","2.06","34065","142680","119700","81.1","64.2","11800","17800",197,108,"82.1","71.2","5.9","25.2","17.8","97.1","Pre-COVID"
2016,"92751","89706","3045","-3045","-575","21200","18900","3.02","2.12","34323","146086","123400","84.5","64.4","11900","18100",199,108,"80.3","54.1","-0.6","22.9","20.4","97.8","Pre-COVID"
2017,"97284","95746","1538","-1259","-1259","22100","19400","3.08","2.18","34477","149800","126500","84.5","66.1","12200","18400",215,110,"79.8","57.3","-1.3","22.7","19.9","98.2","Pre-COVID"
2018,"111060","106714","4346","2345","2345","27300","20100","3.24","2.24","36770","155200","131900","85.0","67.2","12500","18700",234,116,"80.2","63.8","2.1","24.6","18.1","104.8","Pre-COVID"
2019,"106973","97872","9101","3327","1691","29812","20125","4.43","3.08","35098","163200","138700","82.3","65.2","12300","18900",234,110,"83.5","53.6","1.6","27.9","18.8","100.0","Pre-COVID"
2020,"46934","55506","-8572","-11705","-21650","11379","15786","5.88","4.40","5054","34200","22100","64.6","72.1","9600","13200",196,52,"79.2","35.8","-46.1","24.2","33.6","14.4","COVID"
2021,"45587","42415","3172","-450","-5527","7031","11298","5.19","3.93","717","14800","8200","55.4","75.8","8900","11800",180,38,"74.1","28.1","-12.1","15.4","24.8","2.0","COVID"
2022,"51036","43052","7984","3471","-6548","18200","14300","4.12","2.77","4515","46800","34200","73.1","71.2","8800","12400",194,65,"71.8","42.3","-12.8","35.7","28.0","12.9","Recovery Start"
2023,"94485","73785","20700","12999","9789","24800","17200","3.55","2.47","17985","85607","73342","85.7","62.0","8099","13069",214,100,"76.2","76.3","10.4","26.2","18.2","51.2","Recovery"
2024,"104371","84306","20065","13177","9888","26100","18400","3.40","2.36","22827","111789","93016","83.2","59.9","8503","14193",236,113,"72.9","67.3","9.5","25.0","17.6","65.0","Recovery"
2025,"116766","96276","20490","14073","10800","27800","19500","3.28","2.24","28000","135000","114000","84.5","58.5","9100","15200",248,120,"75.2","60.4","9.2","23.8","16.7","79.8","Recovery"
